OUTPUT FOR RE-WEIGHTED WEIGHTS:

output for rbf kernel for all c and gamma :

c= 1024 ;gamma= 64 ;score= 0.5483870967741935
c= 1024 ;gamma= 128 ;score= 0.41935483870967744
c= 1024 ;gamma= 16 ;score= 0.6857142857142857

optimal hyperparameter are: c= 64 gamma= 0.0078125 accuracy= 0.7837837837837838
overall accuracy for rbf 0.5813953488372093

Output for linear kernel for c values:

c= 0.03125 score= 0.43478724118259005
c= 0.0625 score= 0.4061241987986174
c= 0.125 score= 0.4601934628678815
c= 0.25 score= 0.4963377965703547
c= 0.5 score= 0.5612938353636029
c= 1 score= 0.5751682942380617
c= 2 score= 0.5801827242524917
c= 4 score= 0.5807746904258532
c= 8 score= 0.5627952280277861
c= 16 score= 0.5997667706970032
c= 32 score= 0.6046610624517601
c= 64 score= 0.6282757810664787
c= 128 score= 0.6322754119265747
c= 256 score= 0.6272703782006108
c= 512 score= 0.6182804792107117
c= 1024 score= 0.6132873586361958

optimal hyperparameter are: c= 64 accuracy= 0.75
overall accuracy for linear 0.6744186046511628

output for poly kernel for all c ,gamma ,degree:

degree= 1 c= 0.03125 ;score= 0.34285714285714286
degree= 1 c= 0.0625 ;score= 0.34285714285714286
degree= 1 c= 0.125 ;score= 0.34285714285714286
degree= 1 c= 0.25 ;score= 0.48484848484848486
degree= 1 c= 0.5 ;score= 0.5151515151515151
degree= 1 c= 2 ;score= 0.4864864864864865
degree= 1 c= 4 ;score= 0.5405405405405406
degree= 1 c= 16 ;score= 0.6060606060606061
degree= 1 c= 8 ;score= 0.6756756756756757
degree= 2 c= 0.03125 ;score= 0.5945945945945946
degree= 2 c= 0.0625 ;score= 0.6486486486486487
degree= 2 c= 0.125 ;score= 0.6216216216216216
degree= 2 c= 0.25 ;score= 0.6774193548387096
degree= 2 c= 0.5 ;score= 0.6451612903225806
degree= 2 c= 2 ;score= 0.6774193548387096
degree= 2 c= 4 ;score= 0.7027027027027027
degree= 2 c= 16 ;score= 0.7297297297297297
degree= 2 c= 8 ;score= 0.7027027027027027
degree= 3 c= 0.03125 ;score= 0.7027027027027027
degree= 3 c= 0.0625 ;score= 0.7297297297297297
degree= 3 c= 0.125 ;score= 0.7297297297297297
degree= 3 c= 0.25 ;score= 0.7837837837837838
degree= 3 c= 0.5 ;score= 0.7837837837837838
degree= 3 c= 2 ;score= 0.7837837837837838
degree= 3 c= 4 ;score= 0.7567567567567568
degree= 3 c= 16 ;score= 0.7027027027027027
degree= 3 c= 8 ;score= 0.7567567567567568
degree= 4 c= 0.03125 ;score= 0.8108108108108109
degree= 4 c= 0.0625 ;score= 0.8108108108108109
degree= 4 c= 0.125 ;score= 0.7297297297297297
degree= 4 c= 0.25 ;score= 0.7297297297297297
degree= 4 c= 0.5 ;score= 0.7419354838709677
degree= 4 c= 2 ;score= 0.7297297297297297
degree= 4 c= 4 ;score= 0.7297297297297297
degree= 4 c= 16 ;score= 0.7837837837837838
degree= 4 c= 8 ;score= 0.7567567567567568
degree= 1 c= 0.03125 ;score= 0.34285714285714286
degree= 1 c= 0.0625 ;score= 0.34285714285714286
degree= 1 c= 0.125 ;score= 0.48484848484848486
degree= 1 c= 0.25 ;score= 0.5151515151515151
degree= 1 c= 0.5 ;score= 0.4864864864864865
degree= 1 c= 2 ;score= 0.5405405405405406
degree= 1 c= 4 ;score= 0.6756756756756757
degree= 1 c= 16 ;score= 0.6060606060606061
degree= 1 c= 8 ;score= 0.6060606060606061
degree= 2 c= 0.03125 ;score= 0.6216216216216216
degree= 2 c= 0.0625 ;score= 0.6774193548387096
degree= 2 c= 0.125 ;score= 0.6451612903225806
degree= 2 c= 0.25 ;score= 0.7027027027027027
