Output for one vs all :

output for rbf:

degree= 1 c= 0.5 ;score= 0.6451612903225806
degree= 1 c= 2 ;score= 0.6285714285714286
degree= 1 c= 4 ;score= 0.6285714285714286
degree= 1 c= 16 ;score= 0.6285714285714286
degree= 1 c= 8 ;score= 0.6285714285714286
degree= 2 c= 0.03125 ;score= 0.6571428571428571
degree= 2 c= 0.0625 ;score= 0.6774193548387096
degree= 2 c= 0.125 ;score= 0.6774193548387096
degree= 2 c= 0.25 ;score= 0.6774193548387096
degree= 2 c= 0.5 ;score= 0.7741935483870968
degree= 2 c= 2 ;score= 0.8064516129032258
degree= 2 c= 4 ;score= 0.7419354838709677
degree= 2 c= 16 ;score= 0.7419354838709677
degree= 2 c= 8 ;score= 0.7741935483870968
degree= 3 c= 0.03125 ;score= 0.7741935483870968
degree= 3 c= 0.0625 ;score= 0.7567567567567568
degree= 3 c= 0.125 ;score= 0.7567567567567568
degree= 3 c= 0.25 ;score= 0.7419354838709677
degree= 3 c= 0.5 ;score= 0.7419354838709677
degree= 3 c= 2 ;score= 0.7096774193548387
degree= 3 c= 4 ;score= 0.7297297297297297
degree= 3 c= 16 ;score= 0.6774193548387096
degree= 3 c= 8 ;score= 0.7297297297297297
degree= 4 c= 0.03125 ;score= 0.6129032258064516
degree= 4 c= 0.0625 ;score= 0.6571428571428571
degree= 4 c= 0.125 ;score= 0.6571428571428571
degree= 4 c= 0.25 ;score= 0.6285714285714286
degree= 4 c= 0.5 ;score= 0.6285714285714286
degree= 4 c= 2 ;score= 0.6285714285714286
degree= 4 c= 4 ;score= 0.6285714285714286
degree= 4 c= 16 ;score= 0.6285714285714286
degree= 4 c= 8 ;score= 0.6285714285714286
degree= 1 c= 0.03125 ;score= 0.6129032258064516
degree= 1 c= 0.0625 ;score= 0.6129032258064516
degree= 1 c= 0.125 ;score= 0.6129032258064516
degree= 1 c= 0.25 ;score= 0.6451612903225806
degree= 1 c= 0.5 ;score= 0.6285714285714286
degree= 1 c= 2 ;score= 0.6285714285714286
degree= 1 c= 4 ;score= 0.6285714285714286
degree= 1 c= 16 ;score= 0.6571428571428571
degree= 1 c= 8 ;score= 0.6285714285714286
degree= 2 c= 0.03125 ;score= 0.6774193548387096
degree= 2 c= 0.0625 ;score= 0.6774193548387096
degree= 2 c= 0.125 ;score= 0.7741935483870968
degree= 2 c= 0.25 ;score= 0.8064516129032258
degree= 2 c= 0.5 ;score= 0.8064516129032258
degree= 2 c= 2 ;score= 0.7741935483870968
degree= 2 c= 4 ;score= 0.7419354838709677
degree= 2 c= 16 ;score= 0.7741935483870968
degree= 2 c= 8 ;score= 0.7741935483870968
degree= 3 c= 0.03125 ;score= 0.7419354838709677
degree= 3 c= 0.0625 ;score= 0.7419354838709677
degree= 3 c= 0.125 ;score= 0.6756756756756757
degree= 3 c= 0.25 ;score= 0.7096774193548387
degree= 3 c= 0.5 ;score= 0.7297297297297297
degree= 3 c= 2 ;score= 0.6774193548387096
degree= 3 c= 4 ;score= 0.7027027027027027
degree= 3 c= 16 ;score= 0.6756756756756757
degree= 3 c= 8 ;score= 0.6486486486486487
degree= 4 c= 0.03125 ;score= 0.6285714285714286
degree= 4 c= 0.0625 ;score= 0.6285714285714286
degree= 4 c= 0.125 ;score= 0.6285714285714286
degree= 4 c= 0.25 ;score= 0.6285714285714286
degree= 4 c= 0.5 ;score= 0.6285714285714286
degree= 4 c= 2 ;score= 0.6285714285714286
degree= 4 c= 4 ;score= 0.6285714285714286
degree= 4 c= 16 ;score= 0.6285714285714286
degree= 4 c= 8 ;score= 0.6285714285714286
degree= 1 c= 0.03125 ;score= 0.6129032258064516
degree= 1 c= 0.0625 ;score= 0.6129032258064516
degree= 1 c= 0.125 ;score= 0.6451612903225806
degree= 1 c= 0.25 ;score= 0.6285714285714286
degree= 1 c= 0.5 ;score= 0.6285714285714286
degree= 1 c= 2 ;score= 0.6285714285714286
degree= 1 c= 4 ;score= 0.6285714285714286
degree= 1 c= 16 ;score= 0.6571428571428571
degree= 1 c= 8 ;score= 0.6571428571428571
degree= 2 c= 0.03125 ;score= 0.7741935483870968
degree= 2 c= 0.0625 ;score= 0.8064516129032258
degree= 2 c= 0.125 ;score= 0.8064516129032258
degree= 2 c= 0.25 ;score= 0.7419354838709677
degree= 2 c= 0.5 ;score= 0.7741935483870968
degree= 2 c= 2 ;score= 0.7741935483870968
degree= 2 c= 4 ;score= 0.7741935483870968
degree= 2 c= 16 ;score= 0.7419354838709677
degree= 2 c= 8 ;score= 0.7419354838709677
degree= 3 c= 0.03125 ;score= 0.7096774193548387
degree= 3 c= 0.0625 ;score= 0.7297297297297297
degree= 3 c= 0.125 ;score= 0.7297297297297297
degree= 3 c= 0.25 ;score= 0.6774193548387096
degree= 3 c= 0.5 ;score= 0.7027027027027027
degree= 3 c= 2 ;score= 0.6756756756756757
degree= 3 c= 4 ;score= 0.6756756756756757
degree= 3 c= 16 ;score= 0.7297297297297297
degree= 3 c= 8 ;score= 0.6756756756756757
degree= 4 c= 0.03125 ;score= 0.6285714285714286
degree= 4 c= 0.0625 ;score= 0.6285714285714286
degree= 4 c= 0.125 ;score= 0.6285714285714286
degree= 4 c= 0.25 ;score= 0.6285714285714286
degree= 4 c= 0.5 ;score= 0.6285714285714286
degree= 4 c= 2 ;score= 0.6285714285714286
degree= 4 c= 4 ;score= 0.6285714285714286
degree= 4 c= 16 ;score= 0.6486486486486487
degree= 4 c= 8 ;score= 0.6285714285714286

optimal hyperparameter are: degree= 2 c= 16 gamma= 0.015625 accuracy= 0.8064516129032258
overall accuracy for poly 0.6744186046511628

output for sigmoid:

c= 0.03125 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.4
c= 0.0625 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.4
c= 0.125 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.4
c= 0.25 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.4
c= 0.5 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.4
c= 1 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5
c= 2 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.55
c= 4 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.575
c= 8 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5
c= 16 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5238095238095238
c= 32 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.575
c= 64 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5476190476190477
c= 128 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5714285714285714
c= 256 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.5714285714285714
c= 512 ;gamma= 3.0517578125e-05 coeff 1 ;score= 0.55
