Output for one vs one :

output for rbf 

overall accuracy for linear 0.7209302325581395

output for polynomial:

degree= 1 c= 0.03125 ;score= 0.3548387096774194
degree= 1 c= 0.0625 ;score= 0.3548387096774194
degree= 1 c= 0.125 ;score= 0.3548387096774194
degree= 1 c= 0.25 ;score= 0.3548387096774194
degree= 1 c= 0.5 ;score= 0.45714285714285713
degree= 1 c= 2 ;score= 0.5151515151515151
degree= 1 c= 4 ;score= 0.6060606060606061
degree= 1 c= 16 ;score= 0.5483870967741935
degree= 1 c= 8 ;score= 0.5161290322580645
degree= 2 c= 0.03125 ;score= 0.5483870967741935
degree= 2 c= 0.0625 ;score= 0.5428571428571428
degree= 2 c= 0.125 ;score= 0.6129032258064516
degree= 2 c= 0.25 ;score= 0.6774193548387096
degree= 2 c= 0.5 ;score= 0.6451612903225806
degree= 2 c= 2 ;score= 0.7741935483870968
degree= 2 c= 4 ;score= 0.7741935483870968
degree= 2 c= 16 ;score= 0.7837837837837838
degree= 2 c= 8 ;score= 0.7741935483870968
degree= 3 c= 0.03125 ;score= 0.7741935483870968
degree= 3 c= 0.0625 ;score= 0.7837837837837838
degree= 3 c= 0.125 ;score= 0.7837837837837838
degree= 3 c= 0.25 ;score= 0.7567567567567568
degree= 3 c= 0.5 ;score= 0.7837837837837838
degree= 3 c= 2 ;score= 0.7837837837837838
degree= 3 c= 4 ;score= 0.8108108108108109
degree= 3 c= 16 ;score= 0.8108108108108109
degree= 3 c= 8 ;score= 0.7837837837837838
degree= 4 c= 0.03125 ;score= 0.8378378378378378
degree= 4 c= 0.0625 ;score= 0.7419354838709677
degree= 4 c= 0.125 ;score= 0.7567567567567568
degree= 4 c= 0.25 ;score= 0.7297297297297297
degree= 4 c= 0.5 ;score= 0.7567567567567568
degree= 4 c= 2 ;score= 0.7837837837837838
degree= 4 c= 4 ;score= 0.7837837837837838
degree= 4 c= 16 ;score= 0.7837837837837838
degree= 4 c= 8 ;score= 0.8108108108108109
degree= 1 c= 0.03125 ;score= 0.3548387096774194
degree= 1 c= 0.0625 ;score= 0.3548387096774194
degree= 1 c= 0.125 ;score= 0.3548387096774194
degree= 1 c= 0.25 ;score= 0.45714285714285713
degree= 1 c= 0.5 ;score= 0.48484848484848486
degree= 1 c= 2 ;score= 0.6060606060606061
degree= 1 c= 4 ;score= 0.5161290322580645
degree= 1 c= 16 ;score= 0.5806451612903226
degree= 1 c= 8 ;score= 0.5483870967741935
degree= 2 c= 0.03125 ;score= 0.6129032258064516
degree= 2 c= 0.0625 ;score= 0.6774193548387096
degree= 2 c= 0.125 ;score= 0.6451612903225806
degree= 2 c= 0.25 ;score= 0.7096774193548387
